"City:    ","CARIBOU               "
"State:   ","ME"
"WBAN No: ", 14607
"Lat(N):  ", 46.87
"Long(W): ", 68.02
"Elev(m): ",   190
"Pres(mb):",   991
"Stn Type:","Primary"
"SOLAR RADIATION FOR FLAT-PLATE COLLECTORS FACING SOUTH AT A FIXED-TILT (kWh/m2/day), Percentage Uncertainty = 9"
"Tilt(deg)","       ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"Hor Axis ","Minimum", 0.7, 1.1, 1.5, 1.7, 1.8, 2.3, 3.2, 2.9, 2.0, 0.9, 0.5, 0.4, 2.0
"         ","Maximum", 2.2, 2.9, 4.0, 4.5, 5.4, 5.5, 6.4, 5.3, 4.0, 2.7, 1.8, 1.6, 3.0
"1-X, N-S ","Average", 2.3, 3.0, 3.7, 3.6, 3.9, 4.0, 4.2, 4.0, 3.5, 2.4, 1.5, 1.7, 3.1
"Tilt=Lat ","Minimum", 1.3, 1.6, 1.9, 1.9, 1.8, 2.2, 3.1, 3.1, 2.3, 1.3, 0.9, 0.8, 2.3
"         ","Maximum", 3.7, 4.3, 4.9, 5.0, 5.4, 5.3, 6.2, 5.6, 4.7, 3.6, 2.8, 2.9, 3.5
"2-X      ","Average", 2.4, 3.1, 3.7, 3.7, 4.1, 4.4, 4.5, 4.1, 3.5, 2.4, 1.6, 1.8, 3.3
"         ","Minimum", 1.3, 1.7, 2.0, 1.9, 1.9, 2.3, 3.3, 3.2, 2.3, 1.3, 0.9, 0.9, 2.4
"         ","Maximum", 4.0, 4.4, 4.9, 5.1, 5.7, 5.8, 6.7, 5.8, 4.7, 3.7, 3.0, 3.1, 3.7
"AVERAGE CLIMATIC CONDITIONS"
"Element  ","       ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"Temp.    ","(deg C)",-12.8,-11.2, -4.1,  3.3, 10.5, 15.8, 18.6, 17.1, 12.1,  6.2, -0.7, -9.6,  3.8
"Daily Min","(deg C)",-18.7,-17.4, -9.5, -1.7,  4.5,  9.5, 12.5, 11.2,  6.2,  1.3, -4.6,-14.7, -1.8
"Daily Max","(deg C)", -7.0, -5.0,  1.3,  8.2, 16.5, 22.2, 24.7, 23.1, 17.8, 11.1,  3.1, -4.4,  9.3
"Record Lo","(deg C)",-35.6,-40.6,-28.9,-18.9, -7.8, -1.1,  2.2,  1.1, -5.0,-10.0,-20.6,-35.0,-40.6
"Record Hi","(deg C)", 11.1, 11.1, 22.8, 30.0, 35.6, 35.6, 35.0, 35.0, 32.8, 26.1, 20.0, 14.4, 35.6
"HDD,Base="," 18.3C ",  966,  826,  696,  452,  243,   79,   34,   64,  191,  376,  572,  864, 5362
"CDD,Base="," 18.3C ",    0,    0,    0,    0,    0,    4,   42,   26,    0,    0,    0,    0,   73
"Rel Hum  ","percent",   72,   70,   69,   69,   66,   70,   75,   78,   78,   77,   80,   77,   73
"Wind Spd."," (m/s) ",  5.1,  5.0,  5.3,  5.1,  4.8,  4.4,  4.1,  3.8,  4.2,  4.5,  4.7,  4.9,  4.6
