"City:    ","FLAGSTAFF             "
"State:   ","AZ"
"WBAN No: ", 03103
"Lat(N):  ", 35.13
"Long(W): ",111.67
"Elev(m): ",  2135
"Pres(mb):",   788
"Stn Type:","Secondary"
"SOLAR RADIATION FOR FLAT-PLATE COLLECTORS FACING SOUTH AT A FIXED-TILT (kWh/m2/day), Percentage Uncertainty = 9"
"Tilt(deg)","       ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"Hor Axis ","Minimum", 2.1, 2.8, 3.3, 5.1, 5.8, 6.3, 3.7, 3.3, 4.4, 2.7, 2.2, 1.8, 4.6
"         ","Maximum", 5.0, 5.9, 7.8, 8.4, 9.4,10.3, 8.1, 7.7, 8.4, 6.9, 5.4, 4.5, 6.2
"1-X, N-S ","Average", 4.9, 5.5, 6.1, 7.2, 7.6, 8.0, 5.7, 5.9, 6.5, 6.4, 5.4, 4.7, 6.2
"Tilt=Lat ","Minimum", 2.9, 3.5, 3.7, 5.2, 5.7, 5.9, 3.5, 3.3, 4.8, 3.3, 2.9, 2.5, 5.0
"         ","Maximum", 6.8, 7.4, 8.9, 8.7, 9.1, 9.7, 7.7, 7.8, 9.1, 8.3, 7.2, 6.3, 6.8
"2-X      ","Average", 5.3, 5.7, 6.1, 7.3, 8.1, 8.7, 6.1, 6.1, 6.6, 6.5, 5.7, 5.1, 6.4
"         ","Minimum", 3.0, 3.6, 3.7, 5.3, 6.0, 6.4, 3.7, 3.4, 4.8, 3.3, 3.1, 2.8, 5.2
"         ","Maximum", 7.3, 7.6, 8.9, 8.8, 9.6,10.5, 8.2, 8.0, 9.2, 8.4, 7.6, 6.8, 7.1
"AVERAGE CLIMATIC CONDITIONS"
"Element  ","       ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"Temp.    ","(deg C)", -1.8, -0.3,  1.8,  5.7, 10.2, 15.4, 19.1, 17.8, 14.1,  8.4,  2.7, -1.3,  7.7
"Daily Min","(deg C)", -9.3, -7.9, -5.9, -2.9,  0.7,  5.2, 10.3,  9.4,  5.1, -0.6, -5.3, -9.0, -0.8
"Daily Max","(deg C)",  5.7,  7.4,  9.6, 14.3, 19.7, 25.7, 27.7, 26.3, 22.9, 17.4, 10.6,  6.3, 16.1
"Record Lo","(deg C)",-30.0,-30.6,-26.7,-18.9,-10.0, -5.6,  0.0, -4.4, -5.0,-18.9,-25.0,-30.6,-30.6
"Record Hi","(deg C)", 18.9, 21.7, 22.8, 26.7, 30.6, 35.6, 36.1, 33.3, 32.2, 29.4, 23.3, 20.0, 36.1
"HDD,Base="," 18.3C ",  625,  521,  512,  378,  252,  104,   16,   36,  132,  307,  470,  609, 3962
"CDD,Base="," 18.3C ",    0,    0,    0,    0,    0,   17,   39,   21,    3,    0,    0,    0,   81
"Rel Hum  ","percent",   62,   60,   56,   47,   40,   33,   51,   58,   55,   53,   57,   61,   53
"Wind Spd."," (m/s) ",  2.9,  2.8,  3.1,  3.3,  3.2,  3.0,  2.3,  2.0,  2.3,  2.4,  2.8,  2.6,  2.7
